"pidlink","w5_rt","w4_rt","w5_tp","w4_tp","w5_age","more_rt","less_rt","less_tp","more_tp","emp","unemp","ret","sing","marr","sep","gender","edu"
1220001,5,1,5,5,55,0,1,0,0,0,0,0,0,1,0,0,6
1220002,2,5,5,5,54,1,0,0,0,0,0,0,0,1,0,1,6
1220003,5,5,4,5,34,0,0,1,0,0,0,0,0,1,0,0,16
1220006,5,1,5,5,28,0,1,0,0,0,0,0,0,0,0,0,16
1220008,5,5,5,2,24,0,0,0,1,1,0,0,0,0,0,0,16
1250003,5,5,1,5,34,0,0,1,0,0,0,0,0,1,0,0,6
1250008,2,5,3,2,33,1,0,0,1,0,0,0,0,1,0,1,9
1290001,1,5,1,0,58,1,0,0,1,0,0,1,0,1,0,0,6
2010003,4,5,5,5,46,1,0,0,0,0,0,0,0,1,0,1,6
2010004,1,4,1,3,56,1,0,1,0,0,0,0,0,1,0,0,9
2020001,4,5,5,5,42,1,0,0,0,0,0,0,0,1,0,0,6
2040001,5,4,5,5,46,0,1,0,0,0,0,0,0,1,0,0,6
2060006,1,5,2,5,33,1,0,1,0,0,0,0,0,1,0,1,6
2180002,3,4,3,2,48,1,0,0,1,0,0,0,0,1,0,0,6
2180005,1,4,3,5,45,1,0,1,0,0,0,0,0,1,0,1,9
2180006,5,4,2,1,26,0,1,0,1,0,0,0,0,1,0,0,9
2180007,1,4,5,1,24,1,0,0,1,1,0,0,0,1,0,1,6
2250004,5,4,5,5,28,0,1,0,0,0,0,0,0,0,0,0,12
2250006,5,1,4,5,25,0,1,1,0,1,0,0,0,0,0,1,15
2260008,5,5,5,5,22,0,0,0,0,1,0,0,0,0,0,0,9
2290007,2,5,5,5,45,1,0,0,0,0,0,0,0,0,0,0,6
3010002,1,5,1,5,55,1,0,1,0,0,0,0,0,1,0,1,6
3010004,1,5,2,5,36,1,0,1,0,0,0,0,0,1,0,1,6
3010008,3,5,4,5,23,1,0,1,0,1,0,0,0,0,0,1,12
3014101,1,5,5,5,39,1,0,0,0,0,0,0,0,1,0,0,12
3020001,5,4,1,2,47,0,1,1,0,0,0,0,0,1,0,0,6
3030003,5,5,1,5,40,0,0,1,0,0,0,0,0,1,0,0,12
3030005,2,5,4,4,36,1,0,0,0,0,0,0,1,0,0,1,12
3030007,2,5,5,5,40,1,0,0,0,0,0,0,0,1,0,1,12
3040003,3,4,2,5,25,1,0,1,0,0,0,0,0,0,0,1,12
3050001,1,1,5,4,77,0,0,0,1,0,0,1,0,1,0,0,16
3050002,1,5,4,5,63,1,0,1,0,0,0,0,0,1,0,1,6
3050005,2,4,4,5,33,1,0,1,0,0,0,0,0,0,0,0,12
3050006,1,5,5,5,31,1,0,0,0,0,0,0,0,0,0,0,12
3050007,5,5,3,5,26,0,0,1,0,0,0,0,0,0,0,1,12
3050008,2,5,4,4,24,1,0,0,0,1,0,0,0,0,0,1,12
3054101,1,1,4,5,39,0,0,1,0,0,0,0,0,1,0,0,12
3080002,5,5,5,5,52,0,0,0,0,0,0,0,1,0,0,1,6
3090002,2,5,5,5,63,1,0,0,0,0,0,0,0,0,0,1,12
3090006,5,3,2,3,30,0,1,1,0,1,0,0,0,0,0,1,16
3090008,2,3,4,5,43,1,0,1,0,0,0,0,0,1,0,0,12
3100003,4,4,3,3,40,0,0,0,0,0,0,0,0,0,0,1,12
3100004,5,2,4,5,43,0,1,1,0,0,0,0,0,1,0,0,9
3104201,5,2,5,5,36,0,1,0,0,0,0,0,0,1,0,0,12
3110002,4,0,5,0,48,0,1,0,1,0,0,0,0,1,0,1,6
3120001,3,5,5,5,47,1,0,0,0,0,0,0,0,1,0,0,12
3120002,5,1,5,5,50,0,1,0,0,0,0,0,0,1,0,1,6
3120003,4,3,5,5,26,0,1,0,0,1,0,0,0,0,0,1,15
3120004,4,5,3,2,24,1,0,0,1,1,0,0,0,0,0,0,16
3120005,5,5,5,3,33,0,0,0,1,0,0,0,0,1,0,1,6
3130002,3,1,5,2,47,0,1,0,1,0,0,0,0,1,0,1,12
3140005,1,2,4,5,48,1,0,1,0,0,0,0,0,1,0,0,9
3140006,5,2,5,5,47,0,1,0,0,0,0,0,0,1,0,1,6
3150001,4,2,5,5,61,0,1,0,0,0,0,1,0,0,0,1,6
3150003,5,3,5,5,28,0,1,0,0,0,0,0,0,0,0,1,9
3170001,4,2,5,0,60,0,1,0,1,0,1,0,0,0,0,1,9
3170002,4,5,5,5,42,1,0,0,0,1,0,0,0,0,1,1,15
3180002,5,5,5,4,61,0,0,0,1,0,1,0,0,0,0,1,15
3180003,5,3,2,4,32,0,1,1,0,0,0,0,0,1,0,1,16
3180004,2,4,5,5,30,1,0,0,0,0,0,0,0,0,0,0,12
3180005,3,5,5,4,29,1,0,0,1,1,0,0,0,0,0,1,16
3180006,5,5,4,5,28,0,0,1,0,1,0,0,0,0,0,1,15
3180007,5,4,4,4,23,0,1,0,0,1,0,0,0,0,0,0,15
3190002,5,5,5,5,58,0,0,0,0,0,0,1,0,1,0,1,9
3190003,4,4,5,5,36,0,0,0,0,0,0,0,0,1,0,0,12
3190004,5,4,5,5,35,0,1,0,0,0,0,0,0,1,0,1,9
3193102,2,4,2,3,45,1,0,1,0,0,0,0,0,1,0,1,16
3194102,5,4,5,5,30,0,1,0,0,1,0,0,0,1,0,1,12
3200003,5,5,5,5,43,0,0,0,0,0,0,0,0,1,0,1,12
3203105,1,1,5,5,44,0,0,0,0,1,0,0,0,1,0,0,12
3240002,1,1,2,5,49,0,0,1,0,0,0,0,0,1,0,0,12
3240006,1,1,4,4,40,0,0,0,0,0,0,0,0,1,0,1,12
3240007,5,3,4,5,47,0,1,1,0,0,0,0,0,1,0,0,12
3240008,2,2,5,4,42,0,0,0,1,0,0,0,0,1,0,1,12
3240010,2,4,5,5,22,1,0,0,0,1,0,0,0,0,0,1,16
3243207,2,5,5,5,39,1,0,0,0,0,0,0,0,1,0,0,6
3244101,5,1,5,5,39,0,1,0,0,0,0,0,0,1,0,0,12
3250004,3,5,4,5,46,1,0,1,0,0,0,0,0,1,0,0,9
3260001,4,1,3,3,59,0,1,0,0,0,0,0,0,0,0,0,15
3260003,1,4,4,4,31,1,0,0,0,0,0,0,0,1,0,0,12
3260004,3,5,3,5,29,1,0,1,0,0,0,0,0,0,0,0,16
3260005,2,2,4,5,26,0,0,1,0,1,0,0,0,0,0,1,16
3260006,1,5,5,4,25,1,0,0,1,1,0,0,0,0,0,0,12
3264102,3,4,5,5,29,1,0,0,0,1,0,0,0,1,0,1,12
3270002,5,2,2,5,55,0,1,1,0,0,0,0,0,1,0,1,9
3280002,1,5,5,4,48,1,0,0,1,1,0,0,0,1,0,1,12
3280003,4,2,5,4,27,0,1,0,1,0,0,0,0,0,0,0,16
3290001,5,5,5,5,51,0,0,0,0,0,0,0,0,1,0,0,6
3290002,5,5,5,5,47,0,0,0,0,0,0,0,0,1,0,1,6
3290003,2,4,5,5,27,1,0,0,0,0,0,0,0,0,0,0,12
3300003,5,5,5,5,57,0,0,0,0,0,0,0,0,0,0,1,6
4010002,1,1,2,2,47,0,0,0,0,0,0,0,0,0,0,1,16
4020002,4,0,5,5,46,0,1,0,0,0,0,0,0,0,0,1,6
4020005,3,5,5,5,27,1,0,0,0,0,0,0,0,0,0,0,12
4020007,1,0,2,4,24,0,1,1,0,1,0,0,0,0,0,1,12
4030001,4,5,3,5,62,1,0,1,0,1,0,0,0,0,0,0,6
4030003,5,0,5,0,41,0,1,0,1,1,0,0,0,1,0,1,6
4030008,4,5,5,2,24,1,0,0,1,1,0,0,0,0,0,0,12
4040003,2,5,5,5,33,1,0,0,0,1,0,0,0,0,0,0,9
4050001,4,1,5,5,50,0,1,0,0,0,0,0,0,1,0,0,16
4060003,5,4,5,5,34,0,1,0,0,0,0,0,0,0,0,0,12
4070002,4,3,5,5,49,0,1,0,0,0,0,0,0,1,0,1,12
4070009,4,5,5,5,27,1,0,0,0,1,0,0,0,1,0,1,9
4090003,2,0,5,5,41,0,1,0,0,0,0,0,0,0,0,1,12
4090007,5,5,5,5,41,0,0,0,0,0,0,0,0,1,0,0,12
4090008,4,5,5,5,42,1,0,0,0,0,0,0,0,1,0,1,9
4100002,4,5,2,5,43,1,0,1,0,0,0,0,0,1,0,0,6
4100003,4,5,5,5,37,1,0,0,0,1,0,0,0,1,0,1,6
4100004,4,1,5,5,35,0,1,0,0,0,0,0,0,1,0,0,12
4100005,5,1,5,5,33,0,1,0,0,0,0,0,0,1,0,0,9
4100008,4,3,5,5,28,0,1,0,0,0,0,0,0,0,0,1,16
4100009,4,1,5,5,24,0,1,0,0,0,0,0,0,0,0,0,12
4103102,5,5,5,5,41,0,0,0,0,1,0,0,0,1,0,1,12
4104102,2,5,5,5,32,1,0,0,0,0,0,0,0,1,0,1,12
4104202,5,0,5,5,31,0,1,0,0,1,0,0,0,1,0,1,9
4130001,5,2,2,2,76,0,1,0,0,0,0,0,0,1,0,0,9
4130002,5,5,5,3,75,0,0,0,1,0,0,0,0,1,0,1,6
4130003,3,1,4,5,33,0,1,1,0,0,0,0,0,1,0,0,12
4130005,4,4,5,4,36,0,0,0,1,0,0,0,0,1,0,1,12
4132102,4,1,5,5,32,0,1,0,0,1,0,0,0,1,0,1,16
4140002,3,4,4,5,61,1,0,1,0,0,0,0,0,1,0,1,9
4140011,1,4,4,5,23,1,0,1,0,0,0,0,0,0,0,1,12
4144102,5,4,5,4,33,0,1,0,1,0,0,0,0,1,0,1,12
4150003,2,4,5,5,46,1,0,0,0,0,0,0,0,1,0,0,16
4150004,5,1,5,5,47,0,1,0,0,0,0,0,0,1,0,1,16
4160001,2,3,3,2,48,1,0,0,1,0,0,0,0,1,0,0,15
4160002,5,5,5,5,50,0,0,0,0,0,0,0,0,1,0,1,12
4160003,1,3,5,5,26,1,0,0,0,1,0,0,0,0,0,0,16
4160004,4,1,4,5,25,0,1,1,0,1,0,0,0,0,0,1,15
4170004,3,0,3,5,73,0,1,1,0,0,0,0,0,1,0,0,15
4190002,1,5,4,5,59,1,0,1,0,0,0,0,0,0,0,1,9
4190003,2,4,4,5,29,1,0,1,0,0,0,0,0,0,0,0,12
4200001,1,1,4,5,48,0,0,1,0,0,0,0,0,1,0,0,12
4200002,5,5,5,5,45,0,0,0,0,0,0,0,0,1,0,1,6
4200003,1,1,2,5,22,0,0,1,0,1,0,0,0,0,0,1,16
4220004,2,5,5,5,33,1,0,0,0,0,0,0,0,0,0,1,12
4220006,5,5,4,5,28,0,0,1,0,0,0,0,0,1,0,1,9
4230001,1,5,5,5,68,1,0,0,0,0,0,0,0,1,0,0,6
4230002,5,0,5,5,69,0,1,0,0,1,0,0,0,1,0,1,6
4232102,4,4,3,5,36,0,0,1,0,0,0,0,0,1,0,0,12
4240001,5,5,5,0,64,0,0,0,1,0,0,0,0,1,0,0,6
4240002,2,5,5,5,63,1,0,0,0,0,0,0,0,1,0,1,6
4240004,5,2,2,5,34,0,1,1,0,0,0,0,0,1,0,1,12
4240006,1,5,5,5,28,1,0,0,0,0,0,0,0,0,0,0,12
4242202,1,1,5,5,37,0,0,0,0,0,0,0,0,1,0,0,12
4250001,5,5,5,5,74,0,0,0,0,0,0,0,1,0,0,0,9
4250003,5,1,5,5,40,0,1,0,0,0,0,0,0,1,0,0,9
4253102,1,1,5,5,40,0,0,0,0,0,0,0,0,1,0,1,12
4260002,5,5,5,2,56,0,0,0,1,0,0,1,0,0,0,1,6
4260005,2,5,4,5,35,1,0,1,0,0,0,0,0,1,0,0,6
4260006,4,5,5,5,32,1,0,0,0,0,0,0,0,0,0,0,9
4264202,5,5,5,5,32,0,0,0,0,0,0,0,0,1,0,1,6
4270001,1,0,4,5,44,0,1,1,0,0,0,0,0,0,0,0,6
4280004,5,5,4,4,33,0,0,0,0,1,0,0,0,0,0,1,9
4290001,2,1,4,5,64,0,1,1,0,0,0,0,0,1,0,0,6
4300005,4,3,5,1,40,0,1,0,1,0,0,0,0,1,0,1,12
5010003,4,1,5,5,48,0,1,0,0,0,0,0,0,1,0,0,16
5013102,2,1,2,3,41,0,1,1,0,0,0,0,0,1,0,1,16
5030002,4,4,5,5,29,0,0,0,0,1,0,0,0,1,0,1,6
5040004,5,5,2,5,32,0,0,1,0,0,0,0,0,0,0,0,12
5060001,5,5,5,5,56,0,0,0,0,0,0,0,0,1,0,0,6
5060002,5,1,5,1,49,0,1,0,1,0,0,0,0,1,0,1,6
5060003,5,5,5,5,33,0,0,0,0,0,0,0,0,0,0,0,9
5060004,1,1,5,4,29,0,0,0,1,0,0,0,0,1,0,1,12
5064101,1,1,5,5,36,0,0,0,0,0,0,0,0,1,0,0,12
5070001,1,5,5,5,65,1,0,0,0,0,0,0,0,1,0,0,6
5070002,5,5,5,5,59,0,0,0,0,0,0,1,0,1,0,1,6
5080002,5,4,5,5,63,0,1,0,0,0,0,0,0,1,0,0,6
5080003,5,5,5,5,59,0,0,0,0,0,0,0,0,1,0,1,6
5090001,1,2,5,4,70,1,0,0,1,0,0,0,0,1,0,0,6
5090002,2,2,5,5,64,0,0,0,0,0,0,0,0,1,0,1,6
5090005,4,4,5,4,40,0,0,0,1,0,0,0,0,1,0,0,9
5100001,5,2,5,1,48,0,1,0,1,0,0,0,0,1,0,0,6
5100002,5,1,5,5,52,0,1,0,0,0,0,0,0,1,0,1,6
5104101,5,1,5,5,27,0,1,0,0,0,0,0,0,1,0,0,6
5110005,5,5,5,5,54,0,0,0,0,0,0,0,0,1,0,1,6
5130005,2,5,5,5,78,1,0,0,0,0,0,0,0,1,0,1,6
5131203,2,5,5,5,35,1,0,0,0,0,0,0,0,1,0,1,6
5134101,3,2,5,5,52,0,1,0,0,0,0,0,0,1,0,0,12
5140001,5,5,5,5,68,0,0,0,0,0,0,0,0,1,0,0,6
5140002,1,5,5,5,63,1,0,0,0,0,0,0,0,1,0,1,6
5140003,5,5,5,5,40,0,0,0,0,0,0,0,0,1,0,1,6
5140007,3,5,2,5,28,1,0,1,0,0,0,0,0,0,0,0,12
5144101,4,2,2,2,32,0,1,0,0,0,0,0,0,1,0,0,12
5150001,4,2,5,5,45,0,1,0,0,0,0,0,0,1,0,0,12
5150002,5,3,2,1,44,0,1,0,1,1,0,0,0,1,0,1,12
5160001,5,5,5,5,54,0,0,0,0,1,0,0,0,1,0,0,6
5160002,4,1,5,1,51,0,1,0,1,0,0,0,0,1,0,1,6
5160003,4,5,5,4,32,1,0,0,1,0,0,0,0,1,0,1,9
5160006,5,5,5,2,23,0,0,0,1,0,0,0,0,0,0,0,9
5164201,4,2,5,5,36,0,1,0,0,0,0,0,0,1,0,0,6
5170003,5,5,2,3,29,0,0,1,0,0,0,0,0,0,0,0,12
5180001,4,5,5,5,58,1,0,0,0,0,0,0,0,1,0,0,6
5180002,5,5,5,5,56,0,0,0,0,0,0,1,0,1,0,1,6
5200005,1,5,4,5,24,1,0,1,0,1,0,0,0,0,0,1,16
6010001,5,1,5,4,49,0,1,0,1,0,0,0,0,1,0,0,12
6010002,1,4,4,4,49,1,0,0,0,0,0,0,0,1,0,1,12
6010003,5,1,5,3,26,0,1,0,1,1,0,0,0,0,0,1,16
6020002,3,5,2,5,63,1,0,1,0,0,0,0,1,0,0,1,6
6030001,5,1,5,5,57,0,1,0,0,1,0,0,0,1,0,0,6
6030002,5,4,5,5,55,0,1,0,0,0,0,0,0,1,0,1,6
6030003,5,4,5,5,30,0,1,0,0,0,0,0,0,1,0,0,6
6030004,1,4,4,5,27,1,0,1,0,0,0,0,0,1,0,0,9
